date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:54:35	110294/110294	---MCZ	200	added ('OK')	text/html	etag:W/%2263889a11-1aed6%22	https://htmldemo.net/urdan/urdan/index-3.html	C:/Users/user/Downloads/afxxlll/htmldemo.net/urdan/urdan/index-3.html	(from )
16:54:36	400/400	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2027%20Feb%202024%2011:24:36%20GMT	https://htmldemo.net/robots.txt		(from )
16:54:37	447/447	---MC-	200	added ('OK')	image/png	date:Tue,%2027%20Feb%202024%2011:24:36%20GMT	https://htmldemo.net/urdan/urdan/assets/images/favicon/cropped-favicon-32x32.png	C:/Users/user/Downloads/afxxlll/htmldemo.net/urdan/urdan/assets/images/favicon/cropped-favicon-32x32.png	(from https://htmldemo.net/urdan/urdan/index-3.html)
16:54:38	3474/3474	---MC-	200	added ('OK')	image/png	date:Tue,%2027%20Feb%202024%2011:24:38%20GMT	https://htmldemo.net/urdan/urdan/assets/images/favicon/cropped-favicon-192x192.png	C:/Users/user/Downloads/afxxlll/htmldemo.net/urdan/urdan/assets/images/favicon/cropped-favicon-192x192.png	(from https://htmldemo.net/urdan/urdan/index-3.html)
16:54:38	4878/4878	---MC-	200	added ('OK')	image/png	date:Tue,%2027%20Feb%202024%2011:24:38%20GMT	https://htmldemo.net/urdan/urdan/assets/images/favicon/cropped-favicon-180x180.png	C:/Users/user/Downloads/afxxlll/htmldemo.net/urdan/urdan/assets/images/favicon/cropped-favicon-180x180.png	(from https://htmldemo.net/urdan/urdan/index-3.html)
16:54:39	10229/10229	---MC-	200	added ('OK')	image/png	date:Tue,%2027%20Feb%202024%2011:24:39%20GMT	https://htmldemo.net/urdan/urdan/assets/images/favicon/cropped-favicon-270x270.png	C:/Users/user/Downloads/afxxlll/htmldemo.net/urdan/urdan/assets/images/favicon/cropped-favicon-270x270.png	(from https://htmldemo.net/urdan/urdan/index-3.html)
16:54:40	194855/194855	---MCZ	200	added ('OK')	text/css	etag:W/%2263889ab8-2f927%22	https://htmldemo.net/urdan/urdan/assets/css/vendor/bootstrap.min.css	C:/Users/user/Downloads/afxxlll/htmldemo.net/urdan/urdan/assets/css/vendor/bootstrap.min.css	(from https://htmldemo.net/urdan/urdan/index-3.html)
16:54:40	9757/9757	---MCZ	200	added ('OK')	text/css	etag:W/%2263889aba-261d%22	https://htmldemo.net/urdan/urdan/assets/css/vendor/pe-icon-7-stroke.css	C:/Users/user/Downloads/afxxlll/htmldemo.net/urdan/urdan/assets/css/vendor/pe-icon-7-stroke.css	(from https://htmldemo.net/urdan/urdan/index-3.html)
16:54:40	16465/16465	---MCZ	200	added ('OK')	text/css	etag:W/%2263889aba-4051%22	https://htmldemo.net/urdan/urdan/assets/css/vendor/themify-icons.css	C:/Users/user/Downloads/afxxlll/htmldemo.net/urdan/urdan/assets/css/vendor/themify-icons.css	(from https://htmldemo.net/urdan/urdan/index-3.html)
16:54:41	31018/31018	---MCZ	200	added ('OK')	text/css	etag:W/%2263889ab8-792a%22	https://htmldemo.net/urdan/urdan/assets/css/vendor/font-awesome.min.css	C:/Users/user/Downloads/afxxlll/htmldemo.net/urdan/urdan/assets/css/vendor/font-awesome.min.css	(from https://htmldemo.net/urdan/urdan/index-3.html)
16:54:41	70623/70623	---MCZ	200	added ('OK')	text/css	etag:W/%2263889aad-113df%22	https://htmldemo.net/urdan/urdan/assets/css/plugins/animate.css	C:/Users/user/Downloads/afxxlll/htmldemo.net/urdan/urdan/assets/css/plugins/animate.css	(from https://htmldemo.net/urdan/urdan/index-3.html)
16:54:42	26053/26053	---MCZ	200	added ('OK')	text/css	etag:W/%2263889aad-65c5%22	https://htmldemo.net/urdan/urdan/assets/css/plugins/aos.css	C:/Users/user/Downloads/afxxlll/htmldemo.net/urdan/urdan/assets/css/plugins/aos.css	(from https://htmldemo.net/urdan/urdan/index-3.html)
16:54:42	5383/5383	---MCZ	200	added ('OK')	text/css	etag:W/%2263889ab1-1507%22	https://htmldemo.net/urdan/urdan/assets/css/plugins/magnific-popup.css	C:/Users/user/Downloads/afxxlll/htmldemo.net/urdan/urdan/assets/css/plugins/magnific-popup.css	(from https://htmldemo.net/urdan/urdan/index-3.html)
16:54:43	13694/13694	---MCZ	200	added ('OK')	text/css	etag:W/%2263889ab4-357e%22	https://htmldemo.net/urdan/urdan/assets/css/plugins/swiper.min.css	C:/Users/user/Downloads/afxxlll/htmldemo.net/urdan/urdan/assets/css/plugins/swiper.min.css	(from https://htmldemo.net/urdan/urdan/index-3.html)
